序号,一级指标,二级指标,三级指标,对应指引条目,指标类型,分值,适用对象,自评分结果,工商联评分结果
54,,,公司控股股东、实际控制人是否存在滥用股东权利损害公司利益、违规操作控制公司等情况？,规范股东行为1,调节项,-10.0,有限责任公司、非上市股份有限公司、上市股份有限公司,,
55,,,公司是否建立了利害关系股东的表决权排除制度？,规范股东行为2,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
56,,,公司股东会选举董事、监事，是否实行了累积投票制？,规范股东行为2,有效项,0.5,非上市股份有限公司、上市股份有限公司,,
57,,,公司是否与控股股东、实际控制人及关联公司存在人员、资产、财务混同？,规范股东行为3,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
58,,,公司是否每年向股东说明董事、监事、高级管理人员从公司获得报酬的情况？,规范董事、监事和高级管理人员行为1,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
59,,董事会治理,上一年度，公司董事会是否行使了《指引》列举职权中的10项及以上？董事会职权见《指引》第五十八条。,第五十八条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
60,,,公司董事会的规模是否有3人及以上？,第五十九条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
61,,,公司是否在章程中规定了规范、透明的选聘程序以及董事长、副董事长的产生办法？,第五十九、六十条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
62,,,公司董事是否有3个及以上不同的专业背景，且专业背景包括财务会计？,第六十一条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
63,,,公司董事的跨公司兼任数量是否不超过3个？,第六十二条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
64,,,上一年度，董事会是否召开了2次及以上董事会会议？,第六十三条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
65,,,上一年度，董事会会议是否均由董事本人出席？,第六十四条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
66,,,近三年，董事会会议记录是否完整且有出席会议的董事签名？,第六十五条,合规项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
67,,,上一年度，公司是否为全体董事提供了4次及以上的公司信息？,第六十六条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
68,,,公司是否安排了专人负责股东会和董事会会议的筹备和文件保管以及股东资料管理、公司信息报送等工作？,第六十六条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
69,,,公司章程中是否明确了董事会对董事长和高级管理人员的授权内容？,第六十七条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
70,,,公司是否引入了外部董事或独立董事制度？,第七十条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
71,,,外部董事或独立董事是否会对公司经营中的潜在利益冲突进行专项审查并形成报告？,第七十条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
72,,,公司董事会是否设立了2个及以上的董事会专门委员会？,第六十八条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
73,,,公司如设立审计委员会、提名委员会、薪酬与考核委员会，其中外部董事或独立董事是否占多数？,第六十八条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
74,,,公司如设审计委员会，其召集人是否为财务与会计专业人士？,第六十八条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
75,,,有子公司的，是否明确了对子公司的管控模式以及母子公司的权责边界？管控模式见《指引》集团公司治理部分。,第七十一条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
76,,高级管理人员与法定代表人,公司经理是否对董事会负责？,第七十二条,合规项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
77,,,公司是否在章程或其他制度中规定了高级管理人员的职责？,第七十二条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
78,,,公司经理是否行使了《指引》列举职权中的6项及以上？经理职权见《指引》第七十二条。,第七十二条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
79,,,公司是否由控股股东、实际控制人及其关联方直接负责高级管理人员的选聘？,第七十三条,调节项,-10.0,有限责任公司、非上市股份有限公司、上市股份有限公司,,
80,,,公司是否在章程中载明了法定代表人的产生、变更办法？,第七十四条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
81,,,公司法定代表人是否行使了《指引》列举的股东会和董事会职权中的1项及以上？,第七十六条,调节项,-10.0,有限责任公司、非上市股份有限公司、上市股份有限公司,,
82,,监事会/审计委员会治理,公司监事会中是否包括职工监事，如由审计委员会履行监事会的职权，审计委员会中是否包括职工董事？,第七十七条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
83,,,公司监事会或者由审计委员会履行监事会职权的审计委员会，是否行使了《指引》列举职权中的2项及以上？监事会职权见《指引》第七十八条。,第七十八条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
84,,,公司监事会或者由审计委员会履行监事会职权的审计委员会，是否要求全部董事、高级管理人员提交了执行职位的报告？,第七十八条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
85,,,公司监事或者由审计委员会履行监事会职权的审计委员会董事，是否均具备10年及以上的工作经验？,第七十九条,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
86,,,上一年度，公司监事会或者由审计委员会履行监事会职权的审计委员会，是否召开了符合规定次数的会议？（有限责任公司1次及以上，股份有限公司2次及以上）,第八十条,合规项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
87,,董事、监事和高级管理人员,为规范履职，公司是否为董事、监事、高级管理人员建立了股权锁定、离任审计、触发式退出、竞业禁止等制度？,规范董事、监事和高级管理人员行为1,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
88,,,公司是否为董事、监事、高级管理人员明确了忠实义务和勤勉义务的具体标准？,规范董事、监事和高级管理人员行为2,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
89,,,公司是否在章程中规定或在股东会决议中明确了包括相应标准的董事、监事、高级管理人员问责免责制度？,规范董事、监事和高级管理人员行为4,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
90,,,公司是否建立了董事、监事、高级管理人员的履职评价体系？,规范董事、监事和高级管理人员行为5,有效项,0.5,有限责任公司、非上市股份有限公司、上市股份有限公司,,
91,战略管理,战略规划与决策,企业是否制定成文的中长期（三年及以上）发展战略规划？,第八十一条,合规项,0.5,所有企业,,
92,,,企业是否通过章程或制度，明确划分股东会、董事会、经理层在战略制定与执行中的职责与决策权限？,第八十二条,合规项,0.5,公司制企业,,
93,,,企业董事会是否下设战略（与决策）委员会，并实际开展战略研讨工作？,,有效项,0.5,公司制企业,,
94,,,企业近三年的战略调整事项，是否均经股东会、董事会集体决策并留存会议纪要或决议？,第八十六条,调节项,-10.0,公司制企业,,
95,,战略导向,企业战略规划中是否包含与国家、省市级“十四五”或“十五五”规划、重大区域战略相衔接的内容？,第八十三条,合规项,0.5,所有企业,,
96,,,企业近三年战略规划或重大投资事项中，是否包含《产业结构调整指导目录》中的鼓励类项目？,第八十四条,合规项,0.5,所有企业,,
97,,,企业是否有明文规定禁止投资《产业结构调整指导目录》中的限制类、淘汰类项目？,,调节项,0.5,所有企业,,
98,,,企业的战略规划是否明确界定主业，研发、资金等要素投入是否主要集中于主业和战略性新兴产业？,第八十五条,合规项,0.5,所有企业,,
99,,战略执行与评估,企业是否制定与战略目标相匹配的年度计划、投资计划与财务预算，并建立与绩效考核的联动机制？,第八十七条,有效项,0.5,所有企业,,
100,,,企业近一年内是否根据内外部环境变化对战略执行情况进行评估，并据此对战略规划进行调整？,第八十八条,合规项,0.5,所有企业,,
101,,,企业是否应用信息化系统或数据分析工具来支持战略决策和执行监控？,第八十九条,有效项,0.5,所有企业,,
102,内控、风险与合规管理,制度建设,是否运用信息技术手段，建立集财务、审计、风险预警为一体的管理信息系统,第九十四条,有效项,0.5,所有企业,,
103,,,是否建立覆盖财务、人事、采购、投资、运营等环节的内控制度,第九十三条,合规项,0.5,公司制企业,,
104,,,是否制定关联交易管理制度及审查机制，要求控股股东、实际控制人及董监高向公司报送关联方名单、关联关系及变化情况的说明,第一百零六条,合规项,0.5,公司制企业,,
105,,,是否建立实施绩效考评制度，对内部各责任单位和全体员工业绩进行定期考核评价，并将考评结果作为员工薪酬、职务晋升、评级评优、调岗辞退等的依据,第一百零四条,有效项,0.5,所有企业,,
106,,,是否明确预算管理体制以及各预算执行单位的职责权限,第一百零二条,有效项,0.5,所有企业,,
107,,,制度是否定期更新、修订并经过董事会/监事会审议,第九十条,合规项,0.5,公司制企业,,
108,,问责机制,是否建立违规行为追责问责机制？做到明确责任范围，细化问责标准，针对问题和线索及时展开调查。,第九十六条,调节项,-10.0,所有企业,,
110,,,是否建立问责清单动态管理机制，结合行业特性、监管要求及企业发展阶段，定期评估并调整问责范围、标准及程序,第九十八条,有效项,0.5,所有企业,,
111,,,针对重点领域制定专项问责细则，明确具体问责情形、认定标准及处置措施,第九十九条,有效项,0.5,所有企业,,
112,,调查及举报机制,是否建立反舞弊举报调查机制，设立违规举报平台，公布举报电话、邮箱或者信箱，确保举报渠道畅通且易于使用,第九十五条,合规项,0.5,所有企业,,
113,,,有无保留有关调查的文件化信息，定期向治理机构或最高管理者报告调查的次数和结果,,合规项,0.5,所有企业,,
114,,,接受匿名举报，对举报人的身份和举报事项严格保密，对举报属实的举报人，给予适当奖励，防范举报人被打击报复,第九十六条,合规项,0.5,所有企业,,
115,,权力规范,企业重大决策、重大事项、重要人事任免及大额资金支付业务事项是否实行集体决策审批或者联签制度,第一百零一条,有效项,0.5,所有企业,,
116,,,是否按照不相容职务分离控制、分级授权审批控制、决策执行监督相分离等内控体系管控方法，严格规范重要岗位和关键人员在授权、审批、执行、报告等方面的权责,第一百零一条,合规项,0.5,所有企业,,
117,,财务与资产控制,是否建立财产日常管理制度和定期清查盘点制度,第一百零三条,合规项,0.5,所有企业,,
118,,,是否严格执行会计法、会计准则及国家统一的财务会计制度,第一百零五条,调节项,-10.0,所有企业,,
120,,内部审计,有无内部审计制度、设立内部审计机构（人员），并对公司业务活动、风险管理、内部控制、财务信息等事项进行监督检查,第一百零七条,有效项,0.5,所有企业,,
121,,,是否对审计发现问题进行整改跟踪,,合规项,0.5,所有企业,,
122,,外部监督,是否聘请独立审计机构进行年度审计,第一百零八条,有效项,0.5,所有企业,,
123,,,是否披露审计意见（无保留/带强调事项/否定/无法表示意见）,,有效项,0.5,所有企业,,
124,,风险管理,是否建立内部风险防控和风险预警机制，将风险防控各项要求嵌入经营管理各环节,第一百零九条,有效项,0.5,所有企业,,
127,,,是否将风险审查作为重大决策、重大项目、重大合同、重大资金支付以及新业务、新模式、新技术的必经前置程序，确保重大决策事项均经过充分的风险评估,第一百一十四条,有效项,0.5,所有企业,,
128,,合规管理,是否将合规审查设为全部业务流程的必经环节,第一百二十一条,调节项,-10.0,所有企业,,
129,,,是否定期开展合规管理绩效评价（聚焦风险管控措施执行）、合规管理体系有效性评价（聚焦体系运行质量）、管理评审（聚焦重大事项改进决策）,第一百二十二条,有效项,0.5,所有企业,,
130,,,是否建立常态化合规培训机制,第一百二十三条,有效项,0.5,所有企业,,
131,,,是否将“亲”“清”原则固化为制度，规范政商行为,第一百二十四条,合规项,0.5,所有企业,,
132,,,处理数据过程中是否遵守相关合规制度,第一百二十六条,合规项,0.5,所有企业,,
133,科学民主管理,科学管理,企业是否通过ISO9001质量管理体系、ISO14001环境管理体系等国际标准认证，并建立相应的管理制度文件？,第一二七条,有效项,0.5,所有企业,,
134,,,企业是否建立人力资源管理部门，制定员工手册并实施标准化的招聘、培训、考核、晋升等制度？,第一二八条,合规项,0.5,所有企业,,
135,,,企业是否建立数据管理制度，对企业数据进行分类分级管理并设置相应的访问权限？,第一二九条,合规项,0.5,所有企业,,
136,,,企业是否设立安全生产管理部门，制定年度安全培训计划并定期开展应急演练活动？,第一三〇条,合规项,0.5,所有企业,,
137,,,企业是否建立产品质量检验制度，设置质量控制关键节点并建立不合格品召回处理机制？,第一三一条,合规项,0.5,所有企业,,
138,,,企业是否注册企业商标，设立专门的客户服务部门并制定客户投诉处理流程？,第一三二条,合规项,0.5,所有企业,,
139,,,企业是否建立合格供应商名录管理制度，对主要供应商进行资质审核和年度评估？,第一三三条,有效项,0.5,所有企业,,
140,,,互联网平台类企业是否建立平台商家准入审核机制，对入驻商家进行身份验证和信息公示？,第一三四条,合规项,0.5,互联网平台企业,,
141,,员工权益保障,企业是否建立劳动合同管理台账，确保所有员工在入职一个月内签订书面劳动合同？,第一三五条,合规项,0.5,所有企业,,
142,,,企业是否为所有员工开设社保账户，按月足额缴纳养老、医疗、工伤、失业、生育五项社会保险？,第一三六条,合规项,0.5,所有企业,,
143,,,企业是否建立工资发放管理制度，设置固定的工资发放日并保证按时足额支付？,第一三七条,合规项,0.5,所有企业,,
144,,,企业是否建立考勤管理系统，对超时工作依法支付加班费并保障员工年休假权利？,第一三八条,合规项,0.5,所有企业,,
145,,,企业是否制定员工手册或规章制度，并通过公告栏、内网等方式向全体员工公示？,第一三九条,合规项,0.5,所有企业,,
146,,,企业是否设立劳动争议调解委员会或指定专人负责处理劳动纠纷和员工申诉？,第一四○条,合规项,0.5,所有企业,,
147,,,企业是否制定员工个人信息保护制度，对员工档案、薪资等敏感信息进行加密管理？,第一四一条,合规项,0.5,所有企业,,
148,,,企业是否为员工配备符合国家标准的劳动防护用品，并定期开展职业健康检查？,第一四二条,合规项,0.5,所有企业,,
149,,,企业是否建立员工投诉举报渠道（如举报邮箱、热线电话等），并制定处理流程和反馈机制？,第一四三条,合规项,0.5,所有企业,,
150,,民主管理,企业是否每年召开职工代表大会，对企业重大事项进行审议并形成会议记录？,第一四四条,合规项,0.5,公司制企业,,
151,,,企业是否制定年度员工培训计划，并建立培训档案记录员工参训情况？,第一四五条,有效项,0.5,所有企业,,
152,,,企业是否建立员工意见收集制度，通过意见箱、座谈会等形式定期征求员工建议？,第一四六条,有效项,0.5,所有企业,,
153,,,企业是否依法建立工会组织，并与工会签订集体合同或集体协商协议？,第一四七条,合规项,0.5,所有企业,,
154,,,企业是否建立职工代表大会议事规则，在制定重要规章制度时征求职工代表意见并记录在案？,第一四八条,合规项,0.5,公司制企业,,
155,,,企业董事会或监事会是否包含职工代表，并建立职工董事、职工监事向职工代表大会述职的制度？,第一四九条,合规项,0.5,公司制企业,,
156,,,企业是否设立厂务公开栏或信息公开平台，定期公布企业经营状况和涉及员工利益的重要事项？,第一五〇条,有效项,0.5,所有企业,,
157,科技创新,创新战略与研发能力,企业是否设立董事会层面的创新委员会或指定专门负责人统筹创新决策？,第一五一条,有效项,0.5,公司制企业,,
158,,,企业是否建立数字化转型专项部门或团队，并制定数字化升级年度实施计划？,第一五二条,有效项,0.5,所有企业,,
159,,,企业是否建立技术研发与市场应用联动机制，设置专门的成果转化部门或岗位？,第一五三条,有效项,0.5,所有企业,,
160,,,企业是否承担过国家级科研项目（如国家科技重大专项、国家重点研发计划等）或参与国家实验室建设？,第一五四条,有效项,0.5,所有企业,,
161,,,企业是否建立研发投入占营收比例的年度考核指标，并设立专项研发资金管理制度？,第一五六条,有效项,0.5,所有企业,,
162,,,企业是否实施股权激励、技术分红等科技人才激励制度，并与高校建立人才联合培养机制？,第一五七条,有效项,0.5,所有企业,,
163,,创新生态与成果转化,企业是否参与制定过国家标准、行业标准或国际标准，并设有标准化管理岗位？,第一五五条,有效项,0.5,所有企业,,
164,,,企业是否与高校、科研院所或产业链企业签署技术合作协议或共建研发平台？,第一五八条,有效项,0.5,所有企业,,
165,,,企业是否建立知识产权管理部门，制定专利申请年度计划并与核心技术人员签署保密及竞业限制协议？,第一五九条,合规项,0.5,所有企业,,
166,,,企业是否建立科技创新风险评估制度，对重大研发项目进行事前、事中、事后风险管控？,第一六〇条,有效项,0.5,所有企业,,
167,,,企业是否注册自主品牌商标，并定期发布年度科技创新报告或技术白皮书？,第一六一条,有效项,0.5,所有企业,,
168,社会责任与企业文化,利益相关者保护与沟通,是否建立利益相关者数字化参与平台，并及时更新平台信息,第一百六十二条,有效项,0.5,所有企业,,
169,,,是否按时足额缴纳税款,第一百六十三条,合规项,0.5,所有企业,,
170,,,是否被列入经营异常名录或者失信名单,第一百六十三条,调节项,-10.0,所有企业,,
171,,,是否强制中小企业接受商业汇票、应收账款电子凭证等方式；是否存在利用该方式延长付款期限；是否存在第三方付款进度/条件约束,第一百六十五条,合规项,0.5,所有企业,,
172,,员工责任,是否参与“百城千校万企 ”促就业行动，是否吸纳高校毕业生、残疾人、退役军人、农民工、脱贫群众一类或多类群体就业，在面临公共危机时，是否不裁员、不降薪,第一百六十四条,有效项,0.5,所有企业,,
173,,,是否开展员工职业技能培训；是否按规定足额提取和使用职工教育经费，60% 以上用于一线职工教育培训。,第一百六十四条,有效项,0.5,所有企业,,
174,,环境责任,是否通过环境管理体系认证,第一百六十九条,有效项,0.5,所有企业,,
175,,,是否发生环境事故,第一百六十九条,调节项,-10.0,所有企业,,
176,,消费者责任,商品或服务关键信息（价格、成分、产地、有效期、条款等）是否完整、真实、 准确、无误导。,第一百六十六条,合规项,0.5,所有企业,,
177,,,是否提供全渠道客户服务或投诉渠道（电话、邮件、社交媒体等）；建立解决机制，包括召回和补偿等,第一百六十六条,合规项,0.5,所有企业,,
178,,,产品是否符合国家强制性能效、水效标准要求；产品使用可降解或可回收材料；使用可降解或可回收材料的产品占全部产品比例同比上升,第一百六十六条,有效项,0.5,所有企业,,
179,,社会价值,是否参与“万企兴万村 ”行动；企业投入强度（企业投入金额占营收比）同比上升,第一百六十七条,有效项,0.5,所有企业,,
180,,,是否响应“一带一路 ”，拓展海外业务，并在海外经营中支持当地社会发展，参与国际组织的社会责任活动,第一百六十九条,有效项,0.5,所有企业,,
181,,,是否参与光彩公益慈善事业；帮助残疾人、农村留守儿童等困难群体；保障妇女 儿童合法权益；关心老龄事业发展；支持科教文卫等公共事业发展；参与绿色公益，如生态保护、可持续发展等公益项目，是否参与应对自然灾害、事故灾难、公共卫生事件等国家突发重大事件，提供人力、财力、物资等支持，参与上述一项或多项,第一百六十八条,有效项,0.5,所有企业,,
182,,治理结构、机制与信息披露,是否设立绿色治理（ESG）委员会,第一百六十九条,有效项,0.5,所有企业,,
183,,,是否对管理层开展绿色治理（ESG）知识、技能等培训。,第一百六十九条,有效项,0.5,所有企业,,
184,,,是否将可持续发展理念融入经营管理体系，是否设定可量化的社会责任目标并纳入管理层绩效考核。,第一百六十九条,有效项,0.5,所有企业,,
185,,,是否定期发布绿色治理（ESG）报告，是否申请第三方对报告进行鉴证,第一百六十九条,有效项,0.5,所有企业,,
186,,人工智能伦理,是否设立人工智能伦理委员会或首席伦理官,第一百七十条,有效项,0.5,所有企业,,
187,,,是否建立AI数据合规使用制度，数据采集获得用户同意并符合隐私保护政策,第一百七十条,有效项,0.5,所有企业,,
188,,企业文化,企业是否定期开展党建引领企业文化建设活动？,第一七一条,有效项,0.5,所有企业,,
189,,,企业是否建立成文的核心价值观体系，并在员工手册或企业制度中明确体现？,第一七二条,有效项,0.5,所有企业,,
190,,,企业是否在办公场所设置传统文化展示区域，或定期组织传统文化学习活动？,第一七三条,有效项,0.5,所有企业,,
191,,,企业是否编制企业发展史册或文化手册，系统记录企业历史文化传统？,第一七四条,有效项,0.5,所有企业,,
192,,,企业是否建立重大决策法律审查机制，确保决策过程符合法律法规要求？,第一七五条,合规项,0.5,所有企业,,
193,,,企业是否制定廉洁从业行为准则，并建立相应的监督检查机制？,第一七六条,合规项,0.5,所有企业,,
194,,,企业是否制定年度企业文化建设计划，并将文化要素纳入员工绩效考核体系？,第一七七条,有效项,0.5,所有企业,,
195,,,企业是否建立内部文化宣传渠道（如内刊、宣传栏、企业微信群等），定期发布文化宣传内容？,第一七八条,有效项,0.5,所有企业,,
196,,,企业是否注册企业商标并制定品牌文化传播策略，通过品牌展示企业文化理念？,第一七九条,有效项,0.5,所有企业,,
197,,,企业是否建立企业文化建设评估制度，定期对文化建设成效进行评价和改进？,第一八〇条,有效项,0.5,所有企业,,
198,家族企业治理,家族与企业隔离,创始人及其家族成员是否合计持有企业50%以上股权,第一百八十一条,有效项,0.5,家族企业,,
199,,,是否建立股东会、董事会、监事会等治理结构,第一百八十一条,有效项,0.5,家族企业,,
200,,,家族是否掌握董事会多数席位,第一百八十五条,有效项,0.5,家族企业,,
201,,,家族成员是否在企业担任董事长或总经理,第一百八十五条,有效项,0.5,家族企业,,
202,,,是否依法注册有限责任公司、股份公司或合伙企业，企业资产权属是否清晰且登记在企业名下,第一百八十二条,有效项,0.5,家族企业,,
